USAToday NBA Salaries 2008-09,,,,,,,,
,,,,,,,,
Last Name,First Name,City,Team,Annual Salary,Contract Yrs,Contract Amt,Contract Thru,Position
   Hassell, Trenton,New Jersey,Nets,4350000,6,26000000,2009-10 (p),F
   Hawes, Spencer,Sacramento,Kings,2180760,5,10593184,2011-12 (t),F-C
   Hayes, Chuck,Houston,Rockets,1933750,1,1500000,2007-08 (t),F
   Hayes, Jarvis,New Jersey,Nets,1910000,2,4000000,2009-10,F
   Haywood, Brendan,Washington,Wizards,5500000,5,25000000,2009-10,C
   Head, Luther,Houston,Rockets,1962378,4,5109000,2008-09,G
   Hendrix, Richard,Golden State,Warriors,442114,1,442114,2008-09,F
   Herrmann , Walter,Detroit,Pistons,2000000,2,3744000,2007-08,F
   Hibbert, Roy,Indiana,Pacers,1465440,5,10969759,2012-13,C
   Hickson, J.J.,Cleveland,Cavaliers,1329480,5,9999706,2012-13,F
   Hilario, Nene,Denver,Nuggets,9680000,4,43160000,2011-12,C-F
   Hill, Grant,Phoenix,Suns,1976400,2,3800000,2008-09,F-G
   Hill, George,San Antonio,Spurs,1006200,5,8400866,2012-13,G
   Hill, Steven,Oklahoma City,Thunder,423909,1,423909,2008-09,C
   Hinrich, Kirk,Chicago,Bulls,10000000,5,47500000,2010-11,G
   Hollins , Ryan,Dallas,Mavericks,972581,2,1100000,2007-08,C
   Horford, Al,Atlanta,Hawks,4023720,3,12080160,2009-10,C-F
   House, Eddie,Boston,Celtics,2700000,2,5600000,2009-10,G
   Howard, Josh,Dallas,Mavericks,9945000,4,40000000,2010-11 (t),F-G
   Howard, Dwight,Orlando,Magic,13041250,5,80000000,2011-12,C
   Howard, Juwan,Charlotte,Bobcats,6286548,6,36900000,2008-09 (p),F
   Hudson, Troy,Minnesota,Timberwolves,5041000,6,34670000,2009-10,G
   Hughes, Larry,Chicago,Bulls,12827676,5,60000000,2009-10,F
   Humphries, Kris,Toronto,Raptors,3200000,3,9000000,2009-10 (p),F
   Hunter, Othello,Orlando,Magic,5746000,4,22000000,2009-10,C-F
   Hunter, Lindsey,Chicago,Bulls,1136048,2,4500000,2007-08,G
   Hunter, Othello,Atlanta,Hawks,442114,1,442114,2008-09,F
   Hunter, Steven,Denver,Nuggets,3862600,5,16500000,2009-10,F-C
   Iguodala, Andre,Philadelphia,76ers,11300000,6,80000000,2013-14,G-F
   Ilgauskas, Zydrunas,Cleveland,Cavaliers,10841615,5,55000000,2009-10,C
   Ivey, Royal,Philadelphia,76ers,854957,1,770610,2007-08,G
   Jack, Jarrett,Indiana,Pacers,2002623,4,5420000,2008-09 (t),G
   Jackson, Darnell,Cleveland,Cavaliers,442114,2,1178534,2009-10,F
   Jackson, Bobby,Sacramento,Kings,6090000,3,17010000,2008-09,G
   Jackson, Stephen,Golden State,Warriors,7140000,3,28000000,2010-11,F-G
   James, Jerome,New York,Knicks,6200000,5,30000000,2009-10 (p),C
   James, LeBron,Cleveland,Cavaliers,14410581,4,63000000,2009-10 (p),F
   James, Mike,Washington,Wizards,6244083,4,23400000,2009-10,G
   Jamison, Antawn,Washington,Wizards,9923285,4,50000000,2011-12,F
   Jaric, Marko,Memphis,Grizzlies,6575000,6,40000000,2010-11,G
   Jason, Maxiell,Detroit,Pistons,1877752,4,20000000,2011-12,F
   Jawai, Nathan,Toronto,Raptors,442114,2,1178534,2009-10,F
   Jefferson, Richard,Milwaukee,Bucks,13200000,6,76000000,2010-11 (p),F
   Jefferson, Al,Minnesota,Timberwolves,11000000,5,65000000,2011-12,C-F
   Jeffries, Jared,New York,Knicks,6049400,5,30000000,2010-11,C-F
   Jianlian, Yi,New Jersey,Nets,2986080,4,15634345,2011-12,F
   Johnson, Amir,Detroit,Pistons,3666667,3,11000000,2009-10,F
   Johnson, Anthony,Orlando,Magic,1900000,2,3800000,2009-10,G
   Johnson, Joe,Atlanta,Hawks,14232566,5,70000000,2009-10,G
   Johnson, Linton,Charlotte,Bobcats,125379,1,125379,2008-09,F
   Johnson , Alexander,Miami,Heat,797581,1,797581,2008-09,F
   Jones, Dwayne,Orlando,Magic,826969,1,770610,2007-08,F-C
   Jones, Damon,Milwaukee,Bucks,4460186,4,16100000,2008-09,G
   Jones, Eddie,Indiana,Pacers,1976400,2,4000000,2008-09,G-F
