team,revenue,seasonstart
Bucks,87000000,2005
Pelicans,83000000,2005
Blazers,77000000,2005
Knicks,196000000,2006
Lakers,170000000,2006
Bulls,161000000,2006
Pistons,154000000,2006
Rockets,149000000,2006
Mavericks,140000000,2006
Cavaliers,152000000,2006
Suns,145000000,2006
Heat,131000000,2006
Spurs,131000000,2006
Celtics,117000000,2006
Kings,128000000,2006
76ers,112000000,2006
Raptors,124000000,2006
Wizards,112000000,2006
Jazz,114000000,2006
Nets,102000000,2006
Pacers,107000000,2006
Magic,92000000,2006
Nuggets,104000000,2006
Warriors,103000000,2006
Timberwolves,103000000,2006
Grizzlies,98000000,2006
Clippers,98000000,2006
Hornets,93000000,2006
Hawks,95000000,2006
Pelicans,91000000,2006
Thunder,81000000,2006
Bucks,88000000,2006
Blazers,82000000,2006
Knicks,208000000,2007
Lakers,191000000,2007
Bulls,165000000,2007
Pistons,160000000,2007
Cavaliers,159000000,2007
Rockets,156000000,2007
Mavericks,153000000,2007
Suns,148000000,2007
Celtics,149000000,2007
Spurs,138000000,2007
Raptors,138000000,2007
Heat,131000000,2007
76ers,116000000,2007
Jazz,119000000,2007
Wizards,118000000,2007
Kings,117000000,2007
Magic,100000000,2007
Warriors,112000000,2007
Nuggets,112000000,2007
Blazers,114000000,2007
Hawks,102000000,2007
Pacers,101000000,2007
Timberwolves,100000000,2007
Thunder,82000000,2007
Clippers,99000000,2007
Nets,98000000,2007
Grizzlies,95000000,2007
Pelicans,95000000,2007
Hornets,95000000,2007
Bucks,94000000,2007
Lakers,209000000,2008
Bulls,168000000,2008
Pistons,171000000,2008
Rockets,160000000,2008
Knicks,202000000,2008
Suns,148000000,2008
Spurs,133000000,2008
Raptors,133000000,2008
Celtics,144000000,2008
Thunder,111000000,2008
Warriors,113000000,2008
Clippers,102000000,2008
Heat,126000000,2008
Jazz,118000000,2008
76ers,115000000,2008
Cavaliers,159000000,2008
Wizards,110000000,2008
Nuggets,115000000,2008
Pelicans,95000000,2008
Hawks,103000000,2008
Magic,107000000,2008
Kings,109000000,2008
Timberwolves,96000000,2008
Grizzlies,88000000,2008
Bucks,91000000,2008
Nets,92000000,2008
Hornets,96000000,2008
Pacers,97000000,2008
Mavericks,154000000,2008
Blazers,121000000,2008
Knicks,226000000,2009
Lakers,214000000,2009
Bulls,169000000,2009
Celtics,151000000,2009
Rockets,153000000,2009
Mavericks,146000000,2009
Heat,124000000,2009
Suns,147000000,2009
Spurs,135000000,2009
Raptors,138000000,2009
Magic,108000000,2009
Warriors,119000000,2009
Pistons,147000000,2009
Blazers,127000000,2009
Cavaliers,161000000,2009
Jazz,121000000,2009
76ers,110000000,2009
Thunder,118000000,2009
Wizards,107000000,2009
Nuggets,113000000,2009
Nets,89000000,2009
Clippers,102000000,2009
Hawks,105000000,2009
Kings,103000000,2009
Hornets,98000000,2009
Pelicans,100000000,2009
Pacers,95000000,2009
Grizzlies,92000000,2009
Timberwolves,95000000,2009
Bucks,92000000,2009
Lakers,208000000,2010
Knicks,244000000,2010
