teamold,record,winpercent,seasonstart,seasonend,team
Mavericks,38-44,0.463,1988,1989,Mavericks
Mavericks,53-29,0.646,1987,1988,Mavericks
Mavericks,55-27,0.671,1986,1987,Mavericks
Mavericks,44-38,0.537,1985,1986,Mavericks
Mavericks,44-38,0.537,1984,1985,Mavericks
Mavericks,43-39,0.524,1983,1984,Mavericks
Mavericks,38-44,0.463,1982,1983,Mavericks
Mavericks,28-54,0.341,1981,1982,Mavericks
Mavericks,15-67,0.183,1980,1981,Mavericks
Nuggets,46-36,0.561,2017,2018,Nuggets
Nuggets,40-42,0.488,2016,2017,Nuggets
Nuggets,33-49,0.402,2015,2016,Nuggets
Nuggets,30-52,0.366,2014,2015,Nuggets
Nuggets,36-46,0.439,2013,2014,Nuggets
Nuggets,57-25,0.695,2012,2013,Nuggets
Nuggets,38-28,0.576,2011,2012,Nuggets
Nuggets,50-32,0.61,2010,2011,Nuggets
Nuggets,53-29,0.646,2009,2010,Nuggets
Nuggets,54-28,0.659,2008,2009,Nuggets
Nuggets,50-32,0.61,2007,2008,Nuggets
Nuggets,45-37,0.549,2006,2007,Nuggets
Nuggets,44-38,0.537,2005,2006,Nuggets
Nuggets,49-33,0.598,2004,2005,Nuggets
Nuggets,43-39,0.524,2003,2004,Nuggets
Nuggets,17-65,0.207,2002,2003,Nuggets
Nuggets,27-55,0.329,2001,2002,Nuggets
Nuggets,40-42,0.488,2000,2001,Nuggets
Nuggets,35-47,0.427,1999,2000,Nuggets
Nuggets,14-36,0.28,1998,1999,Nuggets
Nuggets,11-71,0.134,1997,1998,Nuggets
Nuggets,21-61,0.256,1996,1997,Nuggets
Nuggets,35-47,0.427,1995,1996,Nuggets
Nuggets,41-41,0.5,1994,1995,Nuggets
Nuggets,42-40,0.512,1993,1994,Nuggets
Nuggets,36-46,0.439,1992,1993,Nuggets
Nuggets,24-58,0.293,1991,1992,Nuggets
Nuggets,20-62,0.244,1990,1991,Nuggets
Nuggets,43-39,0.524,1989,1990,Nuggets
Nuggets,44-38,0.537,1988,1989,Nuggets
Nuggets,54-28,0.659,1987,1988,Nuggets
Nuggets,37-45,0.451,1986,1987,Nuggets
Nuggets,47-35,0.573,1985,1986,Nuggets
Nuggets,52-30,0.634,1984,1985,Nuggets
Nuggets,38-44,0.463,1983,1984,Nuggets
Nuggets,45-37,0.549,1982,1983,Nuggets
Nuggets,46-36,0.561,1981,1982,Nuggets
Nuggets,37-45,0.451,1980,1981,Nuggets
Pistons,39-43,0.476,2017,2018,Pistons
Pistons,37-45,0.451,2016,2017,Pistons
